,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
USDCNY=X,USD/CNY,fx,1,50,,0.0,-0.20346932296856649,-1.2099682389555988,-1.3743188644094466,-5.085756404769355,-5.916203875619613,-6.464801440736823
USDMXN=X,USD/MXN,fx,1,35,,0.0,-0.6746848096384611,-2.9433197781123845,0.35467790772982843,-7.244286095284227,-16.23527588129422,-12.320108975842066
BTC-USD,Bitcoin,crypto,1,200,,0.0,2.4096276024235834,8.75540354657998,12.975726948103889,-36.32631127297709,-21.78496765144914,270.18630755174627
ETH-USD,Ethereum,crypto,1,120,,0.0,3.453236303378351,14.795828797729929,21.437190684654123,-39.59853874605121,-33.95434248104128,54.37450932100788
SOL-USD,Solana,crypto,1,70,,0.0,-0.1280445609801332,-1.8554630873336186,8.285492459213575,-51.6541074810534,-64.31756126355738,175.06266126014125
XRP-USD,XRP,crypto,1,60,,0.0,2.726112610627836,2.37377517241609,2.2267624061220364,-58.037590318369446,-9.6631930678788,205.93122118708237
BNB-USD,BNB,crypto,1,50,,0.0,2.6158767406042567,-0.9085387740019867,1.5592180637769717,-20.923253549746633,-4.7499123454292445,89.03485933111357
ADA-USD,Cardano,crypto,1,40,,0.0,-0.6660976686999391,-2.6588302424306014,-6.140243625961354,-68.4636866024902,-76.0040551608921,-36.31554767908543
DOGE-USD,Dogecoin,crypto,1,35,,0.0,2.435777830393667,3.649126255851356,2.5712752384227513,-57.11137979970974,-76.27469460289295,-22.19720773403703
AVAX-USD,Avalanche,crypto,1,30,,0.0,1.3134527943481142,4.390392556765415,6.883526618005368,-59.308194469918455,-77.8245579791879,-47.36158274070142
DOT-USD,Polkadot,crypto,1,25,,0.0,-7.259973327977819,-9.740950347960602,-6.830334992267177,-69.09449188199524,-86.15034412861864,-81.41719794146447
LINK-USD,Chainlink,crypto,1,25,,0.0,2.5090212905295615,4.290691761904767,10.643465833480217,-49.66414748451139,-48.237696418143535,20.517423492056587
GC=F,Gold,commodities,1,120,,0.0,1.0920011143956685,10.019424119386356,-2.2300361235089605,41.572797494821266,82.35160727381687,195.82128420695406
SI=F,Silver,commodities,1,60,,0.0,3.65023217354684,16.90384861033084,4.717659575649884,107.32218315684936,162.72790823949776,307.02818098653376
CL=F,WTI Crude,commodities,1,110,,0.0,-5.363985007295604,-3.2705375291018033,45.43284399703298,43.06511875633705,32.988937378126195,3.6520373001859197
BZ=F,Brent Crude,commodities,1,100,,0.0,-0.28360992827888065,-12.109991271509458,40.59538658896556,42.902302979184945,30.34463534051109,0.27464047877816217
NG=F,Natural Gas,commodities,1,70,,0.0,-1.3217555062491688,-12.870961889756968,-18.775259251485725,-14.802739131820525,-18.445695406126404,-56.26778313333971
HG=F,Copper,commodities,1,60,,0.0,3.5431343694682567,11.603782059015572,5.328364069266072,38.8260777706869,49.45905889202833,75.85707218540543
PL=F,Platinum,commodities,1,35,,0.0,3.5137375710612297,15.383780738536329,5.317780419873387,58.302862826187784,128.838066866715,127.24448705556448
ZC=F,Corn,commodities,1,40,,0.0,2.437641723356009,-3.2655246252676657,4.753623188405797,17.490247074122237,8.659049909801563,-33.49282296650718
ZS=F,Soybeans,commodities,1,40,,0.0,-0.8930469912821603,-0.724174653887114,2.4620795779292153,19.912528942629276,17.850821744627055,-18.328368670054317
ZW=F,Wheat,commodities,1,35,,0.0,5.166374781085814,-0.743801652892562,8.687782805429864,15.87071876507477,11.668991166899117,-28.55443188578227
KC=F,Coffee,commodities,1,35,,0.0,-0.7330930230879049,-3.1691858259163834,-0.5840146956934518,0.03358163452483063,-8.66165890806859,72.99651520088214
CT=F,Cotton,commodities,1,25,,0.0,6.022939031948428,11.842664108366636,24.626739625021816,19.504307800973805,5.51855046273621,-6.469882827207267
TLT,US 20Y+,bonds,1,100,,0.0,0.3931136266423509,1.2390393511012976,-1.9759867057144103,2.0019699559314224,-0.6719079096827719,3.587853488079141
IEF,US 7-10Y,bonds,1,80,,0.0,0.32539645104610476,1.3833706133890968,-0.6751201041146784,2.524614607790745,6.4017295567437555,14.666814090077962
SHY,US 1-3Y,bonds,1,60,,0.0,0.12134264006479015,0.6538040894027393,0.060324395361276054,2.283649731105557,5.863567058845641,15.473667553746942
LQD,IG Corporate,bonds,1,60,,0.0,0.6776607269639439,2.3282679498955594,-0.4031479671020643,3.1778659205620876,6.609370579538419,26.279570314618937
HYG,High Yield,bonds,1,50,,0.0,0.6253126634878795,2.445806042679062,0.5654177806508188,4.256214340050902,9.324290955818737,35.95744318783923
EMB,EM Debt,bonds,1,50,,0.0,0.7853403141361256,3.486524508537281,-0.1347138988045151,6.624006966909546,13.09268375943027,45.057969468064364
MBB,Mortgage,bonds,1,40,,0.0,0.31588440402997836,1.66450076212376,-0.2184494277748483,4.578033655804971,8.077191682077647,21.003012955621962
TIP,TIPS,bonds,1,40,,0.0,0.36930613808929635,1.5214997598784357,0.16179802712429775,2.4177508217064005,6.689663741738508,16.352254968511563
IGLT.L,UK Gilts,bonds,1,40,,0.0,0.07631335092564388,1.2091619079453757,-1.526910134423436,1.411576270658092,1.8210151015367129,5.100019720117016
SDEU.L,Euro Govt,bonds,1,40,,0.0,-0.1414187504074021,0.6735547773289496,-1.5576127685867145,-1.2268653541623502,0.8558288781145791,1.1324739159999075
1482.T,Japan Govt,bonds,1,35,,0.0,1.33248730964467,1.0156210789979838,-0.4781340380421342,0.20782826168697907,0.8859993229347002,-5.03866285252225
